address_bad,address_new,hotel_name,geo_lat,geo_lng
W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,Wehringer Strasse 33 35 09 Alsergrund 1090 Vienna Austria,Hotel Atlanta,48.225182,16.358573
Gr nentorgasse 30 09 Alsergrund 1090 Vienna Austria,Grunentorgasse 30 09 Alsergrund 1090 Vienna Austria,City Hotel Deutschmeister,48.221111,16.366563
23 Rue Damr mont 18th arr 75018 Paris France,23 Rue Damremont 18th arr 75018 Paris France,Holiday Inn Paris Montmartre,48.88912,2.333672
Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 10 12 08 Josefstadt 1080 Vienna Austria,Fleming s Selection Hotel Wien City,48.209986,16.353552
Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Taborstrasse 8 A 02 Leopoldstadt 1020 Vienna Austria,Hotel City Central,48.213899,16.380011
Josefst dter Stra e 22 08 Josefstadt 1080 Vienna Austria,Josefstaedter Strasse 22 08 Josefstadt 1080 Vienna Austria,Cordial Theaterhotel Wien,48.210893,16.351647
Bail n 4 6 Eixample 08010 Barcelona Spain,Bailen 4 6 Eixample 08010 Barcelona Spain,NH Collection Barcelona Podium,41.391948,2.178032
Landstra er G rtel 5 03 Landstra e 1030 Vienna Austria,Landstrasber Gurtel 5 03 Landstrasse 1030 Vienna Austria,Hotel Daniel Vienna,48.200101,16.382463
4 rue de la P pini re 8th arr 75008 Paris France,4 Rue De La Pepiniere 8th arr 75008 Paris France,Maison Albar Hotel Paris Opera Diamond,48.875569,2.323375
20 Rue De La Ga t 14th arr 75014 Paris France,20 Rue De La Gaite 14th arr 75014 Paris France,Mercure Paris Gare Montparnasse,48.84015,2.323594
W hringer Stra e 12 09 Alsergrund 1090 Vienna Austria,Wahringer Strasse 12 09 Alsergrund 1090 Vienna Austria,Hotel Pension Baron am Schottentor,48.21842,16.35996
Savoyenstra e 2 16 Ottakring 1160 Vienna Austria,Savoyenstrasbe 2 16 Ottakring 1160 Vienna Austria,Austria Trend Hotel Schloss Wilhelminenberg Wien,48.231481,16.284042
Pau Clar s 122 Eixample 08009 Barcelona Spain,Pau Claris 122 Eixample 08009 Barcelona Spain,Renaissance Barcelona Hotel,41.392967,2.166718
Sieveringer Stra e 4 19 D bling 1190 Vienna Austria,Sieveringer Strasse 4 19 Dobling 1190 Vienna Austria,Derag Livinghotel Kaiser Franz Joseph Vienna,48.248747,16.341509
Paragonstra e 1 11 Simmering 1110 Vienna Austria,Paragonstrasse 1 11 Simmering 1110 Vienna Austria,Roomz Vienna,48.185056,16.419818
Hasenauerstra e 12 19 D bling 1190 Vienna Austria,Hasenauerstrasse 12 19 Dobling 1190 Vienna Austria,Hotel Park Villa,48.233861,16.345421
Sep lveda 180 Eixample 08011 Barcelona Spain,Sep lveda 180 Eixample 08011 Barcelona Spain,Hotel Advance,41.3835367745493,2.1628381519502886
