idx,old_name,new_name
2,Alexandra Barcelona A DoubleTree by Hilton,Alexandra Barcelona A DoubleTree by Hilton
4,Hotel Esther a,Hotel Estherea
31,Hotel V Nesplein,Hotel V Nesplein
32,Hazlitt s,Hazlitt`s
39,St Martins Lane A Morgans Original,St Martins Lane A Morgans Original
40,Hotel K nig von Ungarn,Hotel Konig von Ungarn
50,Ayre Hotel Gran V a,Ayre Hotel Gran Via
59,Mill sime H tel,Millesime Hotel
63,St James Court A Taj Hotel London,St James Court A Taj Hotel London
66,M by Montcalm Shoreditch London Tech City,Montcalm Shoreditch London Tech
75,Hotel Casa Fuster G L Monumento,Hotel Casa Fuster G L Monumento
95,K K H tel Cayr Saint Germain des Pr s,K+K Hotel Cayre Saint Germain des Pres
111,Holiday Inn Paris Gare de l Est,Holiday Inn Paris Gare de l`Est
118,The Park Tower Knightsbridge a Luxury Collection Hotel,The Park Tower Knightsbridge a Luxury Collection Hotel
126,The Tower A Guoman Hotel,The Tower A Guoman Hotel
147,W Barcelona,W Barcelona
163,Best Western Plus Elys e Secret,Best Western Plus Elysee Secret
185,H tel Diva Opera,Hotel Diva Opera
226,Ayre Hotel Rosell n,Ayre Hotel Rosellon
233,Mercure Paris Place d Italie,Mercure Paris Place d`Italie
234,M venpick Hotel Amsterdam City Centre,Movenpick Hotel Amsterdam City Centre
236,Holiday Inn London Regent s Park,Holiday Inn London Regent`s Park
253,K K Hotel Maria Theresia,K+K Hotel Maria Theresia
261,Suite Hotel 900 m zur Oper,Suite Hotel 900m zur Oper
262,St Ermin s Hotel Autograph Collection,St. Ermins Hotel Autograph Collection
268,Bermondsey Square Hotel A Bespoke Hotel,Bermondsey Square Hotel A Bespoke Hotel
296,Sanderson A Morgans Hotel,Sanderson A Morgans Hotel
305,H tel Regina,Hotel Regina
314,Grand H tel Du Palais Royal,Grand Hotel Du Palais Royal
322,Acad mie H tel Saint Germain,Academie Hotel Saint Germain
323,Le Dokhan s a Tribute Portfolio Hotel,Le Dokhan`s a Tribute Portfolio Hotel
330,H tel Moli re,Hotel Moliere
342,Mimi s Hotel Soho,Mimi`s Hotel Soho
348,H tel Bourgogne Montana by MH,Hotel Bourgogne Montana by MH
358,H tel Raphael,Hotel Raphael
364,H tel Concorde Montparnasse,Hotel Concorde Montparnasse
366,H tel Da Vinci Spa,Hotel Da Vinci Spa
367,Hotel V Fizeaustraat,Hotel V Fizeaustraat
368,Innkeeper s Lodge London Greenwich,Innkeeper`s Lodge London Greenwich
375,H tel Du Jeu De Paume,Hotel Du Jeu De Paume
396,Fleming s Selection Hotel Wien City,Fleming`s Selection Hotel Wien City
405,Shepherd s Bush Boutique Hotel,Shepherd`s Bush Boutique Hotel
410,Maison Albar H tel Paris Champs Elys es ex Mac Mahon ,Maison Albar Hotel Paris Champs Elysees ex Mac Mahon 
427,H tel San R gis,Hotel San Regis
430,The Bailey s Hotel London,The Bailey`s Hotel London
435,Great Northern Hotel A Tribute Portfolio Hotel London,Great Northern Hotel A Tribute Portfolio Hotel London
472,Schlosshotel R mischer Kaiser,Schlosshotel R mischer Kaiser
488,St George s Hotel Wembley,St George`s Hotel Wembley
492,K K Hotel George,K+K Hotel George
501,Fairmont Rey Juan Carlos I,Fairmont Rey Juan Carlos I
502,Grange St Paul s Hotel,Grange St Paul`s Hotel
521,H tel Aiglon Esprit de France,Hotel Aiglon Esprit de France
523,Elys es R gencia,Elysees Regencia
533,H tel California Champs Elys es,Hotel California Champs Elys es
536,H tel des Champs Elys es,Hotel des Champs Elys es
551,H tel D Aubusson,Hotel D Aubusson
554,St Paul s Hotel,St Paul`s Hotel
561,Grosvenor House A JW Marriott Hotel,Grosvenor House A JW Marriott Hotel
563,The Levante Parliament A Design Hotel,The Levante Parliament A Design Hotel
569,The Cumberland A Guoman Hotel,The Cumberland A Guoman Hotel
579,H tel Brighton Esprit de France,Hotel Brighton Esprit de France
580,Sall s Hotel Pere IV,Salles Hotel Pere IV
592,H tel La Comtesse by Elegancia,Hotel La Comtesse by Elegancia
599,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel
603,W Amsterdam,W Amsterdam
612,H tel Vernet,Hotel Vernet
625,H tel du Minist re,Hotel du Ministere
632,Le M ridien Barcelona,Le Miridien Barcelona
635,H tel Crayon Rouge by Elegancia,Hotel Crayon Rouge by Elegancia
645,H tel Le Bellechasse Saint Germain,Hotel Le Bellechasse Saint Germain
658,H tel De Sers Champs Elys es Paris,Hotel De Sers Champs Elysees Paris
665,H tel Westminster,Hotel Westminster
688,Hotel d Orsay Esprit de France,Hotel d`Orsay Esprit de France
691,Club Quarters Hotel St Paul s,Club Quarters Hotel St Paul`s
694,NH Collection Barcelona Gran Hotel Calder n,NH Collection Barcelona Gran Hotel Calder
696,Col n Hotel Barcelona,Colon Hotel Barcelona
709,Simm s Hotel,Simm`s Hotel
718,H tel de la Bourdonnais,Hotel de la Bourdonnais
721,H tel Elysees Mermoz,Hotel Elysees Mermoz
727,Crowne Plaza Paris R publique,Crowne Plaza Paris R publique
739,Le G n ral H tel,Le General Hotel
745,K West Hotel Spa,K West Hotel Spa
748,H tel Arvor Saint Georges,Hotel Arvor Saint Georges
750,H tel Bedford,Hotel Bedford
756,H tel Les Dames du Panth on,Hotel Les Dames du Panth on
768,H tel Square Louvois,Hotel Square Louvois
781,AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,AC Hotel Diagonal L`Illa a Marriott Lifestyle Hotel
790,Batty Langley s,Batty Langley`s
808,Hotel Mercure La Sorbonne Saint Germain des Pr s,Hotel Mercure La Sorbonne Saint Germain des Pres
813,H tel De Buci by MH,Hotel De Buci by MH
819,Hotel Espa a Ramblas,Hotel Espana Ramblas
823,Hotel La Villa Saint Germain Des Pr s,Hotel La Villa Saint Germain Des Pres
826,Terrass H tel Montmartre by MH,Terrass Hotel Montmartre by MH
